timestamp,cpu_pct,mem_mb,threads
09:51:33,0,69.7,12
09:51:35,0,69.2,12
09:51:37,0,69.2,12
09:51:39,0,69.6,12
09:51:41,0,44.3,31
09:51:43,0,44.8,31
09:51:45,0,48,12
09:51:47,0,49.7,12
09:51:49,0,53.4,12
09:51:51,0,62.4,12
09:51:53,0,65.5,12
09:51:55,0,68,12
09:51:57,0,67,12
09:51:59,0,67.2,12
09:52:01,0,66.9,12
09:52:04,0,67.7,12
09:52:06,0,70.3,12
09:52:08,0,71.5,12
09:52:10,0,71.5,12
09:52:12,0,71.8,12
09:52:14,0,72.1,12
09:52:16,0,72.1,12
09:52:18,0,72.1,12
09:52:20,0,72.1,12
09:52:22,0,45.3,31
09:52:24,0,44.9,31
09:52:26,0,47.5,12
09:52:28,0,50,12
09:52:30,0,51,12
09:52:32,0,58.7,12
09:52:34,0,65.1,12
09:52:36,0,67.2,12
09:52:38,0,70,12
09:52:40,0,69,12
09:52:42,0,70,12
09:52:44,0,70.4,12
09:52:46,0,70.6,12
09:52:48,0,69.2,12
09:52:50,0,69.2,12
09:52:52,0,69.2,12
09:52:54,0,45,31
09:52:56,0,45,31
09:52:58,0,45.8,12
09:53:00,0,50.3,12
09:53:02,0,59.4,12
09:53:04,0,65,12
09:53:06,0,69.4,12
09:53:08,0,70.3,12
09:53:10,0,68.8,12
09:53:12,0,69.4,12
09:53:14,0,69.4,12
09:53:16,0,69.6,12
09:53:18,0,69,12
09:53:20,0,69.5,12
09:53:22,0,69.7,12
09:53:24,0,69.9,12
09:53:26,0,69.9,12
09:53:28,0,70,12
09:53:30,0,70.3,12
09:53:32,0,70.3,12
09:53:34,0,70.3,12
09:53:36,0,70.4,12
09:53:38,0,70.5,12
09:53:40,0,70.5,12
09:53:42,0,70.5,12
09:53:44,0,70.6,12
09:53:46,0,71.8,12
09:53:48,0,70.1,12
09:53:50,0,70.6,12
09:53:52,0,70.7,12
09:53:54,0,70.7,12
09:53:56,0,70.3,12
09:53:58,0,70,12
09:54:00,0,69.8,12
09:54:03,0,70.6,12
09:54:05,0,70.7,12
09:54:07,0,70.3,12
09:54:09,0,70.5,12
09:54:11,0,70.5,12
09:54:13,0,70.6,12
09:54:15,0,70.6,12
09:54:17,0,70.6,12
09:54:19,0,71.7,12
09:54:21,0,70.3,12
09:54:23,0,70.4,12
09:54:25,0,70.4,12
09:54:27,0,70.4,12
09:54:29,0,45.5,32
09:54:31,0,45.5,32
09:54:33,0,46.2,32
09:54:35,0,46.2,32
09:54:37,0,46.2,32
09:54:39,0,46.2,31
09:54:41,0,46.2,31
09:54:43,0,45.9,32
09:54:45,0,45.9,32
09:54:47,0,45.9,32
09:54:49,0,45.9,32
09:54:51,0,45.9,32
09:54:53,0,46.6,32
09:54:55,0,46.6,32
09:54:57,0,46.6,32
09:54:59,0,45.9,32
09:55:01,0,45.9,32
09:55:03,0,46.5,32
09:55:05,0,46.5,32
09:55:07,0,46.5,32
09:55:09,0,46.5,32
09:55:11,0,46.5,32
09:55:13,0,46.7,32
09:55:15,0,46.7,32
09:55:17,0,46.7,32
09:55:19,0,46.7,32
09:55:21,0,46.7,32
09:55:23,0,47.3,32
09:55:25,0,47.3,32
09:55:27,0,47.3,32
09:55:29,0,46.3,32
09:55:31,0,46.3,32
09:55:33,0,46.9,32
09:55:35,0,46.9,32
09:55:37,0,46.9,32
09:55:39,0,46.9,32
09:55:41,0,46.9,32
09:55:43,0,46.8,32
09:55:45,0,46.8,32
09:55:47,0,46.8,32
09:55:49,0,46.8,32
09:55:51,0,46.8,32
09:55:53,0,47.5,32
09:55:55,0,47.5,32
09:55:57,0,47.5,32
09:55:59,0,46.7,30
09:56:01,0,46.7,30
09:56:03,0,47.4,30
09:56:05,0,47.4,30
09:56:07,0,47.4,30
09:56:10,0,47.4,30
09:56:12,0,47.4,30
09:56:14,0,47.3,30
09:56:16,0,47.3,30
09:56:18,0,47.3,30
09:56:20,0,47.3,30
09:56:22,0,47.3,30
09:56:24,0,48,30
09:56:26,0,48,30
09:56:28,0,46.9,30
09:56:30,0,46.9,30
09:56:32,0,46.9,30
09:56:34,0,47.8,30
09:56:36,0,47.8,30
09:56:38,0,47.8,30
09:56:40,0,47.8,30
09:56:42,0,47.8,30
09:56:44,0,47.7,30
09:56:46,0,47.7,30
09:56:48,0,47.7,30
09:56:50,0,47.7,30
09:56:52,0,47.7,30
09:56:54,0,48.4,30
09:56:56,0,48.4,30
09:56:58,0,47.4,30
09:57:00,0,47.4,30
09:57:02,0,47.4,30
09:57:04,0,48,30
09:57:06,0,48,30
09:57:08,0,48,30
09:57:10,0,48,30
09:57:12,0,48,30
09:57:14,0,47.8,30
09:57:16,0,47.8,30
09:57:18,0,47.8,30
09:57:20,0,47.8,30
09:57:22,0,47.8,30
09:57:24,0,48.4,30
09:57:26,0,48.4,30
09:57:28,0,47.4,30
09:57:30,0,47.4,30
09:57:32,0,47.4,30
09:57:34,0,48,30
09:57:36,0,48,30
09:57:38,0,48,30
09:57:40,0,48,30
09:57:42,0,48,30
09:57:44,0,47.8,30
09:57:46,0,47.8,30
09:57:48,0,47.8,30
09:57:50,0,47.8,30
09:57:52,0,47.8,30
09:57:54,0,48.5,30
09:57:56,0,48.5,31
09:57:58,0,47.5,31
09:58:00,0,47.5,31
09:58:02,0,47.5,31
09:58:04,0,48.2,31
09:58:06,0,48.2,31
09:58:09,0,48.2,31
09:58:11,0,48.2,31
09:58:13,0,48.2,31
09:58:15,0,48.1,31
09:58:17,0,48.1,31
09:58:19,0,48.1,31
09:58:21,0,48.1,31
09:58:23,0,48.1,31
09:58:25,0,48.7,31
09:58:27,0,48.7,31
09:58:29,0,47.6,31
09:58:31,0,47.6,31
09:58:33,0,47.6,31
